date,symbol,open,close,dividend,split
2024-08-29,ASTS,27.899999618530273,29.25,0.0,0.0
2024-08-30,ASTS,28.969999313354492,29.040000915527344,0.0,0.0
2024-09-03,ASTS,29.299999237060547,29.40999984741211,0.0,0.0
2024-09-04,ASTS,31.989999771118164,33.08000183105469,0.0,0.0
2024-09-05,ASTS,29.280000686645508,28.450000762939453,0.0,0.0
2024-09-06,ASTS,28.709999084472656,26.110000610351562,0.0,0.0
2024-09-09,ASTS,26.6299991607666,25.940000534057617,0.0,0.0
2024-09-10,ASTS,26.239999771118164,26.110000610351562,0.0,0.0
2024-09-11,ASTS,26.889999389648438,27.899999618530273,0.0,0.0
2024-09-12,ASTS,26.700000762939453,26.790000915527344,0.0,0.0
2024-09-13,ASTS,26.790000915527344,29.829999923706055,0.0,0.0
2024-09-16,ASTS,28.96500015258789,29.84000015258789,0.0,0.0
2024-09-17,ASTS,30.3700008392334,28.0,0.0,0.0
2024-09-18,ASTS,28.34000015258789,28.299999237060547,0.0,0.0
2024-09-19,ASTS,29.149999618530273,28.610000610351562,0.0,0.0
2024-09-20,ASTS,28.450000762939453,26.5,0.0,0.0
2024-09-23,ASTS,26.6200008392334,26.610000610351562,0.0,0.0
2024-09-24,ASTS,26.440000534057617,25.850000381469727,0.0,0.0
2024-09-25,ASTS,25.799999237060547,24.389999389648438,0.0,0.0
2024-09-26,ASTS,24.6299991607666,23.829999923706055,0.0,0.0
2024-09-27,ASTS,23.149999618530273,25.31999969482422,0.0,0.0
2024-09-30,ASTS,25.5,26.149999618530273,0.0,0.0
2024-10-01,ASTS,25.899999618530273,24.104999542236328,0.0,0.0
2024-10-02,ASTS,23.979999542236328,23.84000015258789,0.0,0.0
2024-10-03,ASTS,23.670000076293945,23.219999313354492,0.0,0.0
2024-10-04,ASTS,23.809999465942383,26.110000610351562,0.0,0.0
2024-10-07,ASTS,25.940000534057617,24.90999984741211,0.0,0.0
2024-10-08,ASTS,24.54400062561035,24.200000762939453,0.0,0.0
2024-10-09,ASTS,24.170000076293945,22.610000610351562,0.0,0.0
2024-10-10,ASTS,22.350000381469727,23.06999969482422,0.0,0.0
2024-10-11,ASTS,23.06999969482422,24.18000030517578,0.0,0.0
2024-10-14,ASTS,24.239999771118164,25.1200008392334,0.0,0.0
2024-10-15,ASTS,24.440000534057617,24.25,0.0,0.0
2024-10-16,ASTS,24.760000228881836,28.219999313354492,0.0,0.0
2024-10-17,ASTS,27.84000015258789,28.489999771118164,0.0,0.0
2024-10-18,ASTS,28.790000915527344,28.139999389648438,0.0,0.0
2024-10-21,ASTS,28.520000457763672,27.639999389648438,0.0,0.0
2024-10-22,ASTS,27.290000915527344,27.889999389648438,0.0,0.0
2024-10-23,ASTS,27.5,26.260000228881836,0.0,0.0
2024-10-24,ASTS,27.540000915527344,25.06999969482422,0.0,0.0
2024-10-25,ASTS,25.125,25.6200008392334,0.0,0.0
2024-10-28,ASTS,25.96500015258789,26.729999542236328,0.0,0.0
2024-10-29,ASTS,26.739999771118164,26.979999542236328,0.0,0.0
2024-10-30,ASTS,26.979999542236328,25.1299991607666,0.0,0.0
2024-10-31,ASTS,24.940000534057617,23.809999465942383,0.0,0.0
2024-11-01,ASTS,24.209999084472656,23.850000381469727,0.0,0.0
2024-11-04,ASTS,23.56999969482422,23.940000534057617,0.0,0.0
2024-11-05,ASTS,23.950000762939453,24.1299991607666,0.0,0.0
2024-11-06,ASTS,23.889999389648438,22.520000457763672,0.0,0.0
2024-11-07,ASTS,22.8799991607666,21.454999923706055,0.0,0.0
2024-11-08,ASTS,21.309999465942383,21.989999771118164,0.0,0.0
2024-11-11,ASTS,22.549999237060547,24.760000228881836,0.0,0.0
2024-11-12,ASTS,24.559999465942383,24.260000228881836,0.0,0.0
2024-11-13,ASTS,26.0,27.889999389648438,0.0,0.0
2024-11-14,ASTS,29.0,26.799999237060547,0.0,0.0
2024-11-15,ASTS,23.18000030517578,24.229999542236328,0.0,0.0
2024-11-18,ASTS,24.34000015258789,25.799999237060547,0.0,0.0
2024-11-19,ASTS,25.1299991607666,26.139999389648438,0.0,0.0
2024-11-20,ASTS,25.549999237060547,23.584999084472656,0.0,0.0
2024-11-21,ASTS,24.06999969482422,24.139999389648438,0.0,0.0
2024-11-22,ASTS,24.030000686645508,24.100000381469727,0.0,0.0
2024-11-25,ASTS,24.6299991607666,24.209999084472656,0.0,0.0
2024-11-26,ASTS,23.892000198364258,23.389999389648438,0.0,0.0
2024-11-27,ASTS,23.940000534057617,23.290000915527344,0.0,0.0
2024-11-29,ASTS,23.53499984741211,23.809999465942383,0.0,0.0
2024-12-02,ASTS,24.1200008392334,23.219999313354492,0.0,0.0
2024-12-03,ASTS,23.229999542236328,22.90999984741211,0.0,0.0
2024-12-04,ASTS,22.899999618530273,22.639999389648438,0.0,0.0
